學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,2,公立,一般大學,7,國立交通大學,340306,管理科學系,碩士班(日間),芬蘭,約瓦斯其拉大學,University of Jyvaskyla,1,0,1
103,2,公立,一般大學,7,國立交通大學,340306,管理科學系,碩士班(日間),日本,東京大學,The University of Tokyo,1,0,1
103,2,公立,一般大學,7,國立交通大學,340306,管理科學系,碩士班(日間),瑞典,林雪平大學,Linkoping University,1,0,1
103,2,公立,一般大學,7,國立交通大學,520101,電機工程學系,碩士班(日間),德國,羅依特林根大學,Reutlingen University,1,1,0
103,2,公立,一般大學,7,國立交通大學,340306,管理科學系,碩士班(日間),法國,KEDGE高等商學院,KEDGE Business School,1,0,1
103,2,公立,一般大學,7,國立交通大學,520101,電機工程學系,碩士班(日間),法國,高等電力學院,Supelec,2,2,0
103,2,公立,一般大學,7,國立交通大學,520101,電機工程學系,碩士班(日間),香港,香港中文大學,The Chinese University of Hong Kong,1,0,1
103,2,公立,一般大學,7,國立交通大學,520201,機械工程學系,碩士班(日間),比利時,安特衛普大學,University of Antwerp,1,1,0
103,2,公立,一般大學,7,國立交通大學,340301,管理學院企業管理碩士學位學程,碩士班(日間),中國大陸,北京大學,Peking University,1,0,1
103,2,公立,一般大學,7,國立交通大學,340301,管理學院企業管理碩士學位學程,碩士班(日間),新加坡,南洋理工大學,Nanyang Technological University,1,1,0
103,2,公立,一般大學,7,國立交通大學,340301,管理學院企業管理碩士學位學程,碩士班(日間),南韓,韓國高等理工學院,KAIST Business School,2,2,0
103,2,公立,一般大學,7,國立交通大學,520201,機械工程學系,碩士班(日間),瑞典,查默斯理工大學,Chalmers University of Technology,1,1,0
103,2,公立,一般大學,7,國立交通大學,520117,網路工程研究所,碩士班(日間),美國,科羅拉多大學,University of Colorado Boulder,1,1,0
103,2,公立,一般大學,7,國立交通大學,520117,網路工程研究所,碩士班(日間),德國,慕尼黑工業大學,Technische University Munchen,1,1,0
103,2,公立,一般大學,7,國立交通大學,520117,網路工程研究所,碩士班(日間),德國,羅依特林根大學,Reutlingen University,1,1,0
103,2,公立,一般大學,8,國立中央大學,440401,大氣科學學系,碩士班(日間),日本,東京工業大學,Tokyo Institute of Technology,1,0,1
103,2,公立,一般大學,7,國立交通大學,210901,應用藝術研究所,碩士班(日間),芬蘭,阿爾托大學,Aalto University,1,0,1
103,2,公立,一般大學,8,國立中央大學,380103,法律與政府研究所,碩士班(日間),中國大陸,哈爾濱工業大學,Harbin Institute of Technology,1,1,0
103,2,公立,一般大學,8,國立中央大學,220314,法國語文學系,碩士班(日間),加拿大,蒙特婁大學,Universite de Montreal,1,1,0
103,2,公立,一般大學,8,國立中央大學,340301,企業管理學系,碩士班(日間),荷蘭,漢斯應用科技大學,"Hanze University of Applied Sciences, Groningen",1,0,1
103,2,公立,一般大學,8,國立中央大學,460101,數學系,碩士班(日間),中國大陸,上海交通大學,Shanghai Jiao Tong University,1,1,0
103,2,公立,一般大學,8,國立中央大學,460101,數學系,碩士班(日間),美國,莫瑞大學,Murray State University,1,1,0
103,2,公立,一般大學,9,國立中山大學,220201,中國文學系,碩士班(日間),日本,琉球大學,University of the Ryukyus,1,1,0
103,2,公立,一般大學,9,國立中山大學,310729,中國與亞太區域研究所,碩士班(日間),瑞典,林奈大學,Linnaeus University,1,0,1
